CodigoCL,TIPO_SENAL,FASE,ACCION,n
CL73433,SI-07,IMPLEMENTACION,INSTALACION,1
CL73448,SI-07,INVENTARIO,INVENTARIO,1
CL73449,SI-07,INVENTARIO,INVENTARIO,1
CL73480,SI-07,PROGRAMACION,REEMPLAZAR,1
CL73566,SI-07,PROGRAMACION,REEMPLAZAR,1
CL73573,SI-07,IMPLEMENTACION,INSTALACION,1
CL73573,SI-07,PROGRAMACION,MANTENIMIENTO,2
CL73579,SI-07,INVENTARIO,INVENTARIO,2
CL73601,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL73616,SI-07,IMPLEMENTACION,INSTALACION,1
CL73617,SI-07,PROGRAMACION,RETIRAR,1
CL73696,SI-07,INVENTARIO,INVENTARIO,1
CL73741,SI-07,IMPLEMENTACION,INSTALACION,1
CL73813,SI-07,INVENTARIO,INVENTARIO,1
CL7427,SI-07,INVENTARIO,INVENTARIO,2
CL74270,SI-07,PROGRAMACION,REEMPLAZAR,1
CL74285,SI-07,PROGRAMACION,RETIRAR,1
CL74306,SI-07,INVENTARIO,INVENTARIO,2
CL74317,SI-07,IMPLEMENTACION,INSTALACION,1
CL74317,SI-07,PROGRAMACION,RETIRAR,2
CL74369,SI-07,INVENTARIO,INVENTARIO,1
CL74374,SI-07,INVENTARIO,INVENTARIO,1
CL74407,SI-07,PROGRAMACION,REEMPLAZAR,1
CL74414,SI-07,IMPLEMENTACION,INSTALACION,1
CL74419,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL74420,SI-07,INVENTARIO,INVENTARIO,1
CL74454,SI-07,IMPLEMENTACION,INSTALACION,1
CL74475,SI-07,INVENTARIO,INVENTARIO,1
CL74487,SI-07,PROGRAMACION,REEMPLAZAR,1
CL74550,SI-07,IMPLEMENTACION,INSTALACION,1
CL74792,SI-07,INVENTARIO,INVENTARIO,1
CL7492,SI-07,IMPLEMENTACION,INSTALACION,1
CL7492,SI-07,IMPLEMENTACION,REEMPLAZAR,1
CL7504,SI-07,IMPLEMENTACION,INSTALACION,1
CL75232,SI-07,PROGRAMACION,RETIRAR,1
CL75350,SI-07,IMPLEMENTACION,REEMPLAZAR,1
CL75411,SI-07,INVENTARIO,INVENTARIO,1
CL75419,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL75776,SI-07,INVENTARIO,INVENTARIO,1
CL75826,SI-07,IMPLEMENTACION,REEMPLAZAR,1
CL7609,SI-07,INVENTARIO,INVENTARIO,1
CL7616,SI-07,INVENTARIO,INVENTARIO,1
CL7618,SI-07,INVENTARIO,INVENTARIO,1
CL7637,SI-07,IMPLEMENTACION,INSTALACION,1
CL7637,SI-07,PROGRAMACION,RETIRAR,1
CL7639,SI-07,INVENTARIO,INVENTARIO,1
CL7646,SI-07,INVENTARIO,INVENTARIO,2
CL7655,SI-07,INVENTARIO,INVENTARIO,1
CL76688,SI-07,INVENTARIO,INVENTARIO,2
CL767,SI-07,IMPLEMENTACION,REEMPLAZAR,1
CL767,SI-07,PROGRAMACION,REEMPLAZAR,1
CL77318,SI-07,IMPLEMENTACION,INSTALACION,1
CL77384,SI-07,IMPLEMENTACION,INSTALACION,1
CL77405,SI-07,PROGRAMACION,RETIRAR,1
CL77408,SI-07,IMPLEMENTACION,INSTALACION,1
CL77445,SI-07,INVENTARIO,INVENTARIO,1
CL77469,SI-07,INVENTARIO,INVENTARIO,1
CL77519,SI-07,INVENTARIO,INVENTARIO,2
CL7758,SI-07,IMPLEMENTACION,INSTALACION,1
CL77619,SI-07,INVENTARIO,INVENTARIO,1
CL7764,SI-07,INVENTARIO,INVENTARIO,1
CL77697,SI-07,IMPLEMENTACION,INSTALACION,1
CL77697,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL77708,SI-07,INVENTARIO,INVENTARIO,2
CL77708,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL77708,SI-07A,INVENTARIO,INVENTARIO,1
CL77709,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL77714,SI-07,IMPLEMENTACION,INSTALACION,1
CL77714,SI-07,INVENTARIO,INVENTARIO,2
CL77789,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL7800,SI-07,IMPLEMENTACION,INSTALACION,1
CL7806,SI-07,IMPLEMENTACION,INSTALACION,1
CL7808,SI-07,IMPLEMENTACION,INSTALACION,2
CL78208,SI-07,PROGRAMACION,REUBICAR,1
CL7822,SI-07,IMPLEMENTACION,INSTALACION,2
CL7823,SI-07,IMPLEMENTACION,INSTALACION,2
CL78250,SI-07,INVENTARIO,INVENTARIO,1
CL7826,SI-07,IMPLEMENTACION,INSTALACION,1
CL78290,SI-07,INVENTARIO,INVENTARIO,1
CL7834,SI-07,IMPLEMENTACION,INSTALACION,2
CL7836,SI-07,PROGRAMACION,REEMPLAZAR,1
CL7837,SI-07,IMPLEMENTACION,INSTALACION,2
CL7837,SI-07,PROGRAMACION,REEMPLAZAR,1
CL78383,SI-07,INVENTARIO,INVENTARIO,1
CL78386,SI-07,INVENTARIO,INVENTARIO,1
CL78386,SI-07A,INVENTARIO,INVENTARIO,1
CL78406,SI-07,INVENTARIO,INVENTARIO,1
CL78423,SI-07,IMPLEMENTACION,INSTALACION,1
CL78456,SI-07,INVENTARIO,INVENTARIO,1
CL78639,SI-07,PROGRAMACION,RETIRAR,1
CL78810,SI-07,IMPLEMENTACION,INSTALACION,1
CL7889,SI-07,IMPLEMENTACION,REUBICAR,2
CL79398,SI-07,IMPLEMENTACION,INSTALACION,1
CL79398,SI-07,INVENTARIO,INVENTARIO,1
CL79398,SI-07,PROGRAMACION,REEMPLAZAR,1
CL79449,SI-07,INVENTARIO,INVENTARIO,1
CL79478,SI-07,INVENTARIO,INVENTARIO,1
CL79479,SI-07,IMPLEMENTACION,INSTALACION,1
CL79479,SI-07,INVENTARIO,INVENTARIO,2
CL7956,SI-07,PROGRAMACION,REEMPLAZAR,1
CL79565,SI-07,INVENTARIO,INVENTARIO,1
CL7959,SI-07,IMPLEMENTACION,INSTALACION,1
CL7959,SI-07,PROGRAMACION,REEMPLAZAR,1
CL7959,SI-07,PROGRAMACION,RETIRAR,2
CL7965,SI-07,PROGRAMACION,RETIRAR,1
CL79670,SI-07,INVENTARIO,INVENTARIO,2
CL79670,SI-07,PROGRAMACION,REEMPLAZAR,1
CL79686,SI-07,IMPLEMENTACION,INSTALACION,1
CL79686,SI-07,INVENTARIO,INVENTARIO,1
CL8030,SI-07,PROGRAMACION,REEMPLAZAR,1
CL8041,SI-07,IMPLEMENTACION,INSTALACION,1
CL8043,SI-07,PROGRAMACION,REEMPLAZAR,1
CL8058,SI-07,IMPLEMENTACION,INSTALACION,8
CL8071,SI-07,IMPLEMENTACION,INSTALACION,1
CL8077,SI-07,PROGRAMACION,RETIRAR,1
CL81132,SI-07,IMPLEMENTACION,INSTALACION,1
CL81298,SI-07,IMPLEMENTACION,INSTALACION,1
CL81351,SI-07,IMPLEMENTACION,INSTALACION,1
CL8137,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL8140,SI-07,INVENTARIO,INVENTARIO,2
CL815,SI-07,IMPLEMENTACION,REEMPLAZAR,2
CL815,SI-07,PROGRAMACION,REEMPLAZAR,3
CL81656,SI-07,IMPLEMENTACION,REEMPLAZAR,1
CL8175,SI-07,IMPLEMENTACION,REEMPLAZAR,1
CL8222,SI-07,PROGRAMACION,MANTENIMIENTO,1
CL8222,SI-07,PROGRAMACION,REEMPLAZAR,1
CL82280,SI-07,PROGRAMACION,RETIRAR,1
CL82554,SI-07,IMPLEMENTACION,INSTALACION,1
CL82554,SI-07,INVENTARIO,INVENTARIO,1
CL82586,SI-07,INVENTARIO,INVENTARIO,1
CL82597,SI-07,INVENTARIO,INVENTARIO,1
CL82597,SI-07,PROGRAMACION,REEMPLAZAR,1
CL82606,SI-07,INVENTARIO,INVENTARIO,1
CL8261,SI-07,IMPLEMENTACION,INSTALACION,1
CL8261,SI-07,INVENTARIO,INVENTARIO,1
CL82617,SI-07,INVENTARIO,INVENTARIO,1
CL82623,SI-07,INVENTARIO,INVENTARIO,1
CL82623,SI-07,PROGRAMACION,REEMPLAZAR,2
CL82624,SI-07,INVENTARIO,INVENTARIO,1
CL82631,SI-07,IMPLEMENTACION,REEMPLAZAR,2
CL82631,SI-07,PROGRAMACION,REEMPLAZAR,1
