CodigoCL,TIPO_SENAL,FASE,ACCION,n
CL1613,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL16135,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL16153,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL1621,SP-46,INVENTARIO,INVENTARIO,2
CL16241,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL16245,SP-46,INVENTARIO,INVENTARIO,1
CL16254,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL16262,SP-46/SR-30,INVENTARIO,INVENTARIO,1
CL1640,SP-46A,IMPLEMENTACION,INSTALACION,1
CL1640,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL1640,SP-46B,IMPLEMENTACION,INSTALACION,2
CL16473,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL16497,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,1
CL1676,SP-46A/SR-30,IMPLEMENTACION,INSTALACION,2
CL1676,SP-46B,IMPLEMENTACION,INSTALACION,2
CL1677,SP-46A,IMPLEMENTACION,INSTALACION,1
CL16819,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL16828,SP-46B,IMPLEMENTACION,INSTALACION,1
CL16844,SP-46B,IMPLEMENTACION,INSTALACION,1
CL16874,SP-46B,IMPLEMENTACION,INSTALACION,2
CL16906,SP-46A,IMPLEMENTACION,INSTALACION,1
CL1696,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL16970,SP-46/SR-30,INVENTARIO,INVENTARIO,2
CL1699,SP-46/SR-30,PROGRAMACION,RETIRAR,1
CL17,SP-46/SR-30,IMPLEMENTACION,INSTALACION,1
CL1700,SP-46,PROGRAMACION,RETIRAR,1
CL17021,SP-46,IMPLEMENTACION,INSTALACION,1
CL17022,SP-46/SR-30,INVENTARIO,INVENTARIO,2
CL17022,SP-46A,IMPLEMENTACION,INSTALACION,1
CL17029,SP-46,PROGRAMACION,RETIRAR,1
CL17035,SP-46/SR-30,INVENTARIO,INVENTARIO,1
